billboard_year,song_id,name,artist,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2020,4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),Cardi B,8/7/2020,95,0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133.073,187541,4
2020,3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),Mustard,6/28/2019,86,0.809,0.545,7,-6.678,1,0.0735,0.392,0,0.151,0.244,97.008,180435,4
2020,2mt1IqcFyY1zmYZT8Q3xw9,hot girl bummer,blackbear,8/21/2020,88,0.782,0.559,6,-7.106,0,0.0767,0.125,0,0.385,0.685,129.992,188344,1
2020,6wJYhPfqk3KGhHRG76WzOh,Blueberry Faygo,Lil Mosey,2/7/2020,87,0.774,0.554,0,-7.909,1,0.0383,0.207,0,0.132,0.349,99.034,162547,4
2020,6bnF93Rx87YqUBLSgjiMU8,Heartless,The Weeknd,3/20/2020,83,0.537,0.746,10,-5.507,0,0.15,0.0236,1.01E-06,0.156,0.252,170.062,198267,4
2020,6Ozh9Ok6h4Oi1wUSLtBseN,BOP,DaBaby,9/27/2019,86,0.769,0.787,11,-3.909,1,0.367,0.189,0,0.129,0.836,126.77,159715,4
2020,4l0Mvzj72xxOpRrp6h8nHi,Lose You To Love Me,Selena Gomez,1/10/2020,86,0.488,0.343,4,-8.985,1,0.0436,0.556,0,0.21,0.0978,102.819,206459,4
2020,6KgBpzTuTRPebChN0VTyzV,Good as Hell,Lizzo,4/17/2019,76,0.682,0.919,0,-3.18,0,0.0875,0.256,0,0.442,0.535,95.982,159736,4
2020,127QTOFJsJQp5LbJbu3A1y,Toosie Slide,Drake,4/3/2020,86,0.834,0.454,1,-9.75,0,0.201,0.321,6.15E-06,0.114,0.837,81.618,247059,4
2020,017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,3/27/2020,87,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39E-06,0.349,0.467,113.013,221820,4
2020,5MwynWK9s4hlyKHqhkNn4A,Chasin' You,Morgan Wallen,4/27/2018,82,0.631,0.591,7,-5.785,1,0.0277,0.657,0,0.11,0.489,97.074,205453,4
2020,1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),Jawsh 685,6/11/2020,91,0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076,171375,4
2020,6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake),Chris Brown,6/28/2019,85,0.696,0.454,1,-6.756,0,0.153,0.123,0,0.155,0.136,92.928,260640,4
2020,3yOlyBJuViE2YSGn3nVE1K,My Oh My (feat. DaBaby),Camila Cabello,12/6/2019,84,0.724,0.491,8,-6.024,1,0.0296,0.018,1.29E-05,0.0887,0.383,105.046,170746,4
2020,0t1kP63rueHleOhQkYSXFY,Dynamite,BTS,8/28/2020,91,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,199054,4
2020,1IIKrJVP1C9N7iPtG6eOsK,Go Crazy,Chris Brown,5/8/2020,89,0.755,0.578,0,-8.932,0,0.145,0.316,0,0.25,0.581,94.148,176960,4
2020,07KXEDMj78x68D884wgVEm,High Fashion (feat. Mustard),Roddy Ricch,12/6/2019,84,0.831,0.499,11,-8.442,0,0.114,0.269,0,0.3,0.511,97.956,220487,4
2020,2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),Drake,8/14/2020,93,0.761,0.518,0,-8.871,1,0.134,0.244,3.47E-05,0.107,0.522,133.976,261493,4
2020,598yNsG1JFrGd4n2kMoz7F,Woah,Lil Baby,11/8/2019,76,0.882,0.602,11,-5.554,1,0.245,0.0177,0,0.178,0.43,142.959,183011,4
2020,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),Powfu,2/8/2020,92,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,173333,4
2020,0TK2YIli7K1leLovkQiNik,Señorita,Shawn Mendes,6/21/2019,87,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,190960,4
2020,0TK2YIli7K1leLovkQiNik,Señorita,Shawn Mendes,6/21/2019,87,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,190960,4
2020,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,10/4/2019,90,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83E-06,0.21,0.0605,76.469,175721,4
2020,2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,3/29/2019,90,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
2020,2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,3/29/2019,90,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
2020,3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),24kGoldn,7/24/2020,100,0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,90.989,140526,4
2020,24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),Lady Gaga,5/22/2020,87,0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,182200,4
2020,0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,7/3/2020,94,0.823,0.586,6,-6.606,0,0.2,0.114,0,0.193,0.347,125.971,190476,4
2020,6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),Black Eyed Peas,10/12/2019,84,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714,4
2020,6fWa5CRgy0z30OeGZyMBvD,Heart On Ice,Rod Wave,6/14/2019,79,0.733,0.389,10,-8.468,0,0.0738,0.0513,0,0.141,0.244,157.878,159670,3
2020,5M8goiFYynmNxhueYW6grR,Nobody But You (Duet with Gwen Stefani),Blake Shelton,12/13/2019,74,0.463,0.653,0,-5.515,1,0.0273,0.111,0.000136,0.172,0.233,143.912,194867,4
2020,0lsRatBUs9HNIZAmoGABzk,Trampoline,SHAED,9/21/2018,71,0.689,0.412,7,-7.523,0,0.0301,0.488,0.00016,0.0659,0.537,126.754,184060,4
2020,0lsRatBUs9HNIZAmoGABzk,Trampoline,SHAED,9/21/2018,71,0.689,0.412,7,-7.523,0,0.0301,0.488,0.00016,0.0659,0.537,126.754,184060,4
2020,2Y0wPrPQBrGhoLn14xRYCG,Come & Go (with Marshmello),Juice WRLD,7/10/2020,89,0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991,205485,4
2020,5qmq61DAAOUaW8AUo8xKhh,Truth Hurts,Lizzo,5/3/2019,73,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,173325,4
2020,5qmq61DAAOUaW8AUo8xKhh,Truth Hurts,Lizzo,5/3/2019,73,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,173325,4
2020,2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending - feat. Julia Michaels,JP Saxe,10/17/2019,89,0.464,0.473,1,-10.086,1,0.129,0.866,0,0.109,0.604,75.801,208687,4
2020,6gxKUmycQX7uyMwJcweFjp,We Paid (feat. 42 Dugg),Lil Baby,5/1/2020,83,0.926,0.542,1,-5.064,1,0.293,0.135,0,0.0877,0.564,135.14,181929,4
2020,16wAOAZ2OkqoIDN7TpChjR,Yummy,Justin Bieber,2/14/2020,79,0.676,0.506,9,-6.652,0,0.0958,0.345,0,0.118,0.497,145.842,208520,4
2020,7cA3PnUQDlUyBBwpRozQeo,One Man Band,Old Dominion,10/25/2019,78,0.706,0.358,6,-8.331,1,0.0347,0.677,0,0.107,0.478,75.991,186240,4
2020,4TCc369aRPRubv1m8R1TBG,Got What I Got,Jason Aldean,11/22/2019,78,0.512,0.58,3,-6.658,0,0.029,0.621,1.72E-05,0.513,0.303,159.847,178147,3
2020,1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,Surfaces,1/6/2019,87,0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022,158571,4
2020,7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),Eminem,1/17/2020,88,0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,210800,4
2020,6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),Juice WRLD,10/4/2019,86,0.474,0.631,5,-5.884,0,0.343,0.0687,0,0.132,0.425,180.051,189323,4
2020,5RqR4ZCCKJDcBLIn4sih9l,Party Girl,StaySolidRocky,4/21/2020,85,0.728,0.431,6,-9.966,0,0.0622,0.749,0,0.0996,0.629,130.022,147800,4
2020,1kFpL1itkwkdhO6kcmNJra,Die From A Broken Heart,Maddie & Tae,10/19/2018,71,0.607,0.514,4,-6.631,1,0.0323,0.363,0,0.258,0.414,75.978,188291,4
2020,6EDO9iiTtwNv6waLwa1UUq,POPSTAR (feat. Drake),DJ Khaled,7/17/2020,90,0.8,0.56,5,-4.818,0,0.261,0.057,0,0.134,0.45,163.071,200221,4
2020,0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey,11/1/1994,96,0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,241107,4
2020,14GwnOeC9qYEKEA6uOZepa,One Of Them Girls,Lee Brice,4/10/2020,79,0.643,0.79,4,-6.079,1,0.0462,0.294,0,0.107,0.8,95.987,188893,4
2020,10xuH52YSXHWFwCaF1fsDd,Hard To Forget,Sam Hunt,4/3/2020,74,0.689,0.689,4,-5.517,1,0.045,0.23,0,0.57,0.664,130.069,204760,4
2020,6NhS5LwYbJ6xD7BGvlWRJO,One Margarita,Luke Bryan,3/13/2020,72,,,,,,,,,,,,,
2020,1000nHvUdawXuUHgBod4Wv,Panini,Lil Nas X,9/13/2019,78,0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,114893,4
2020,5Z8HZM6iQMhhqyPcCGY5g9,Hot (feat. Gunna),Young Thug,8/16/2019,77,0.855,0.651,0,-8.044,0,0.235,0.063,0,0.0772,0.559,111.997,193027,4
2020,0Al3wN3keprGTSgG8NBwjr,I Hope You’re Happy Now,Carly Pearce,2/14/2020,75,0.591,0.815,10,-4.725,1,0.0366,0.168,8.68E-06,0.142,0.306,118.024,198689,4
2020,7ge7BHazYbVKi8qyZUX1Bm,Emotionally Scarred,Lil Baby,2/28/2020,78,0.585,0.641,6,-4.269,0,0.133,0.0286,0,0.316,0.266,88.284,197530,4
2020,4S2uhQE8L9V6p7rj7SiauJ,Suicidal (Remix) [feat. Juice WRLD],YNW Melly,3/13/2020,83,0.655,0.441,9,-5.245,0,0.0629,0.474,0,0.099,0.273,139.957,225857,4
2020,44gRhRi2OhEf7moAUj6MD1,The Bigger Picture,Lil Baby,6/12/2020,78,0.59,0.618,1,-5.756,1,0.334,0.0127,0,0.244,0.153,96.459,252729,3
2020,0DiDStADDVh3SvAsoJAFMk,Only Human,Jonas Brothers,6/7/2019,78,0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,94.01,183000,4
2020,0DiDStADDVh3SvAsoJAFMk,Only Human,Jonas Brothers,6/7/2019,78,0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,94.01,183000,4
2020,1H7KnK26kc1YyellpbINEn,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,7/3/2020,87,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77E-06,0.259,0.286,99.7,201600,4
2020,2u3EyuCqqV31woqGvO9LBz,Sum 2 Prove,Lil Baby,1/10/2020,76,0.823,0.552,4,-7.57,0,0.324,0.0174,0,0.122,0.418,124.038,205760,4
2020,4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),Ariana Grande,5/8/2020,90,0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765,228482,3
2020,5rZlwNFl01HqLWBQGryKSm,Mood Swings (feat. Lil Tjay),Pop Smoke,7/3/2020,90,0.48,0.602,10,-6.335,0,0.368,0.487,0,0.0848,0.269,179.798,213333,4
2020,7lidXGPXPYLNThITAOTlkK,You should be sad,Halsey,1/17/2020,83,0.591,0.585,2,-6.35,1,0.0277,0.143,0,0.109,0.324,110.94,205473,4
2020,79s5XnCN4TJKTVMSmOx8Ep,Dior,Pop Smoke,7/26/2019,87,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094,216387,4
2020,4nK5YrxbMGZstTLbvj6Gxw,Supalonely,BENEE,11/15/2019,85,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04E-05,0.123,0.817,128.977,223480,4
2020,5Fhe63YOMZsGdB3CgCDuBi,Even Though I'm Leaving,Luke Combs,11/8/2019,76,0.554,0.755,2,-6.04,1,0.0319,0.225,0,0.301,0.624,77.962,225253,4
2020,39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,THE SCOTTS,4/24/2020,87,0.716,0.537,0,-7.648,0,0.0514,0.233,0,0.157,0.28,129.979,165978,4
2020,7qvsl2pYzrsYgPeFBN5jxp,Juicy,Doja Cat,8/15/2019,66,0.786,0.658,0,-2.61,1,0.0661,0.0856,0,0.0689,0.458,170.037,202333,4
2020,5f1joOtoMeyppIcJGZQvqJ,Be Like That - feat. Swae Lee & Khalid,Kane Brown,7/10/2020,85,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58E-05,0.126,0.322,86.97,191406,4
2020,30RZAuEkYeDXvy46Iv6l7E,Homesick,Kane Brown,11/1/2019,72,0.701,0.5,8,-8.82,1,0.0303,0.46,0,0.234,0.409,97.028,205400,4
2020,1ENdcyhqdylaLsPVgB83qq,Rags2Riches (feat. ATR Son Son),Rod Wave,4/3/2020,78,0.904,0.252,5,-17.54,0,0.11,0.294,0,0.104,0.227,117.994,167184,4
2020,0kPeZAyIhIfeZNrtfjJGDB,Bluebird,Miranda Lambert,11/1/2019,74,0.661,0.633,7,-5.986,1,0.0348,0.038,2.75E-06,0.124,0.613,81.984,209760,4
2020,2U5WueTLIK5WJLD7mvDODv,Wishing Well,Juice WRLD,7/10/2020,91,0.65,0.613,9,-6.13,0,0.128,0.00336,0,0.267,0.0804,149.972,194621,4
2020,0nGXi46VcQQ56ZJR428MKS,Does To Me (feat. Eric Church),Luke Combs,11/8/2019,73,0.616,0.849,0,-4.897,1,0.0373,0.311,0,0.311,0.638,113.065,223320,4
2020,48KXAIruJ07kJVCWOGohMV,P*$$Y Fairy (OTW),Jhené Aiko,1/17/2020,75,0.572,0.519,2,-7.092,0,0.212,0.536,0,0.102,0.35,128.331,181860,4
2020,62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. Emilee),Surf Mesa,11/26/2019,89,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,176547,4
2020,0eBXyY4SatzpE7opnzgXvz,More Than My Hometown,Morgan Wallen,4/17/2020,83,0.621,0.882,6,-5.01,1,0.0459,0.601,0,0.132,0.574,126.014,216573,4
2020,0nYvjcSlCgjcwogQAwIwNp,Lovin' On You,Luke Combs,11/8/2019,76,0.572,0.949,4,-4.865,1,0.06,0.00165,0.000195,0.163,0.53,118.974,194867,4
2020,3sKz6Sd72K0ofPWcJPPk6H,Said Sum,Moneybagg Yo,9/18/2020,75,0.929,0.667,8,-6.789,0,0.353,0.0185,0,0.1,0.274,126.998,155168,4
2020,2rTnVB1bvwxHtaIl4uVu7f,Slide,H.E.R.,9/27/2019,77,0.827,0.469,10,-9.141,0,0.341,0.0807,8.12E-06,0.207,0.196,97.028,238321,4
2020,4cSSL3YafYjM3yjgFO1vJg,Walk Em Down (feat. Roddy Ricch),NLE Choppa,3/19/2020,80,0.867,0.744,2,-5.171,1,0.227,0.268,0,0.0713,0.645,84.005,173288,4
2019,6u7jPi22kF8CTQ3rb9DHE7,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,4/5/2019,11,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,157067,4
2019,3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,12/14/2018,87,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040,4
2019,5p7ujcrUXASCNwRaWNHR1C,Without Me,Halsey,10/4/2018,85,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11E-06,0.0936,0.533,136.041,201661,4
2019,2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,3/29/2019,90,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
2019,2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,3/29/2019,90,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
2019,6MWtB6iiXyIwun0YzU6DFP,Wow.,Post Malone,12/24/2018,16,0.833,0.539,11,-7.399,0,0.178,0.163,2.10E-06,0.101,0.385,99.947,149520,4
2019,2dpaYNEQHiRxtZbfNsse99,Happier,Marshmello,8/17/2018,87,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4
2019,2dpaYNEQHiRxtZbfNsse99,Happier,Marshmello,8/17/2018,87,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4
2019,14msK75pk3pA33pzPVNtBF,7 rings,Ariana Grande,1/18/2019,7,0.725,0.321,1,-10.744,0,0.323,0.578,0,0.0884,0.319,70.142,178640,4
2019,6TqXcAFInzjp0bODyvrWEq,Talk (feat. Disclosure),Khalid,4/5/2019,78,0.901,0.4,0,-8.575,1,0.126,0.051,0,0.0599,0.346,135.984,197573,4
2019,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,8/3/2018,89,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4
2019,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,8/3/2018,89,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4
2019,4y3OI86AEP6PQoDE6olYhO,Sucker,Jonas Brothers,3/1/2019,13,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,181040,4
2019,1rqqCSm0Qe4I9rUvWncaom,High Hopes,Panic! At The Disco,6/22/2018,85,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,190947,4
2019,2rPE9A1vEgShuZxxzR2tZH,"thank u, next",Ariana Grande,11/3/2018,8,0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,207333,4
2019,5qmq61DAAOUaW8AUo8xKhh,Truth Hurts,Lizzo,5/3/2019,73,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,173325,4
2019,5qmq61DAAOUaW8AUo8xKhh,Truth Hurts,Lizzo,5/3/2019,73,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,173325,4
2019,6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),Sam Smith,1/11/2019,84,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97E-06,0.222,0.347,102.998,171030,4
2019,0TK2YIli7K1leLovkQiNik,Señorita,Shawn Mendes,6/21/2019,87,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,190960,4
2019,0TK2YIli7K1leLovkQiNik,Señorita,Shawn Mendes,6/21/2019,87,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,190960,4
2019,3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),Ed Sheeran,5/10/2019,85,0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,219947,4
2019,0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),benny blanco,7/12/2018,81,0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,173800,4
2019,0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),benny blanco,7/12/2018,81,0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,173800,4
2019,2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),Meek Mill,11/30/2018,83,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,180522,4
2019,2VxeLyX666F8uXCJ0dZF8B,Shallow,Lady Gaga,10/5/2018,88,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,4
2019,4T3fNx3CgwDRRYgmFCbD4J,Better,Khalid,9/14/2018,75,0.442,0.585,0,-10.332,0,0.0964,0.0984,0.391,0.14,0.116,97.565,229413,4
2019,7FEwp8BavoEVE3AnxJDchc,No Guidance (feat. Drake),Chris Brown,6/8/2019,8,0.698,0.454,1,-6.756,0,0.151,0.123,0,0.155,0.137,92.932,260640,4
2019,6FRLCMO5TUHTexlWo8ym1W,Girls Like You (feat. Cardi B),Maroon 5,5/30/2018,78,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,235545,4
2019,6FRLCMO5TUHTexlWo8ym1W,Girls Like You (feat. Cardi B),Maroon 5,5/30/2018,78,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,235545,4
2019,25sgk305KZfyuqVBQIahim,Sweet but Psycho,Ava Max,8/17/2018,47,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,187436,4
2019,2gwkD6igEhQbDQegRCcdoB,Suge,DaBaby,3/1/2019,81,0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445,163320,4
2019,2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,J. Cole,1/23/2019,84,0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,213594,4
2019,78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),Lil Baby,10/5/2018,84,0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,145543,4
2019,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,5/17/2019,93,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4
2019,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,5/17/2019,93,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4
