id,name,artists,danceability,duration_ms,energy,acousticness,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,year
2Dl2i1mCLy7orIGtIHgsmb,Take It Easy,['Jackson Browne'],0.535,235400,0.669,0.0471,0,7,0.195,-8.711,1,44,0.0276,138.264,0.397,1973
5uIYONgpUQ7t0v7D6CTMBt,Shrike,['Hozier'],0.387,300707,0.278,0.464,0.00527,7,0.102,-8.454,0,59,0.0318,153.426,0.0632,2018
3oqBOAsqRMKUHc8MGx4o72,Death,['White Lies'],0.454,301213,0.832,0.000451,0.0188,7,0.076,-5.649,1,53,0.0343,135.087,0.228,2009
2nIAvjU0Ww5cW2KwBkMEE1,Canaro en Córdoba - Remasterizado,"['Francisco Canaro', 'Charlo']",0.721,175000,0.239,0.994,0.423,2,0.11,-11.086,1,0,0.389,111.289,0.781,1928
6OXW7XXG70cgbqfeoG1BRi,Waltz Across Texas,['Willie Nelson'],0.617,146160,0.3,0.624,0.00258,7,0.0978,-9.937,1,20,0.0324,95.814,0.647,1968
2KR3nLhPOtXe5mupmcVGST,California Sun,['Ramones'],0.487,105267,0.87,0.000465,0.00637,9,0.218,-13.29,1,31,0.0387,105.743,0.486,1979
51rXHuKN8Loc4sUlKPODgH,"King's Dead (with Kendrick Lamar, Future & James Blake)","['Jay Rock', 'Kendrick Lamar', 'Future', 'James Blake']",0.645,229670,0.705,0.000813,0,1,0.128,-5.008,1,75,0.299,137.133,0.376,2018
4TqjeU2q2EQtQtqbfdl51Q,Die A G,"['Screwston', 'Lil Bing', 'Lil Villian', 'Big C', 'Lord Loco']",0.852,250400,0.544,0.187,0,2,0.328,-3.751,1,35,0.334,75.279,0.405,2002
0vZCwj0Mq5uS8GwSIYo6Y7,Passion,['Rod Stewart'],0.692,333200,0.525,0.0212,0.0019,9,0.0944,-12.691,1,39,0.0373,103.679,0.0879,1980
7GlbJPoTKbU44W4mGEEj1p,Zambra Gitana,"['Guillermo Gomez', 'Vicente Gomez']",0.305,166740,0.165,0.925,0.885,7,0.118,-22.132,1,1,0.0448,81.883,0.266,1930
0dabTJQqgzKhXEF75PMOLW,"Le Pecheur de perles: ""A cette voix quel trouble - je crois entendre encore""","['Georges Bizet', 'Richard Tucker', 'Emil Cooper']",0.247,269573,0.187,0.949,2.50E-05,7,0.0994,-14.4,0,0,0.0366,104.404,0.251,1949
7urjzeGBtfHdwWmfYJjdAp,Four Women,['Nina Simone'],0.454,264667,0.206,0.885,0.000108,9,0.067,-14.855,0,48,0.0333,167.169,0.336,1966
1CswOuMr47eROk5J0pYDV2,Spring Rain,['The Go-Betweens'],0.565,186000,0.636,0.282,0,0,0.505,-6.218,1,36,0.0279,150.201,0.737,1986
0vtvjbeDqVSDl9rdpaQK6N,Whose Bed Have Your Boots Been Under?,['Shania Twain'],0.73,264507,0.639,0.0824,0,5,0.117,-9.04,1,52,0.0358,132.095,0.857,1995
52zkGWkKbpB1FchOdBQlK5,Solo Sin Ella,['El Chaval'],0.881,312600,0.44,0.113,0,9,0.0384,-8.413,0,46,0.0585,119.855,0.818,1999
1Vchex0xowRj9k59RLvRfo,Tip Toe Thru' the Tulips with Me,['Tiny Tim'],0.588,110840,0.165,0.97,0.000117,4,0.206,-20.076,1,49,0.0498,135.958,0.605,1968
5UKGE3tI0s5Lq0Puf6Fn0S,Whatta Man (feat. En Vogue) - EP Version,"['Salt-N-Pepa', 'En Vogue']",0.734,296213,0.671,0.0924,9.29E-05,5,0.122,-8.538,1,48,0.118,173.184,0.945,1993
1k0GxoZYv3Yx5mNeXMOZN2,Vital Signs,['Rush'],0.603,286227,0.851,0.0251,1.71E-05,0,0.318,-8.574,0,47,0.0584,143.218,0.627,1981
04f9gX1GwN02SpvYeSks9j,Arroja la Bomba - Remastered,['Frente Popular'],0.661,69173,0.598,0.758,0,0,0.289,-8.467,0,11,0.373,113.162,0.921,1936
3fpVWegR6YOS1Yk5HSMYIq,Paranoid,['Post Malone'],0.625,221787,0.536,0.038,2.31E-05,0,0.167,-5.428,1,73,0.0776,159.914,0.253,2018
1izPg41RlsznNCPUCunB3u,I Love to Love,['Nina Simone'],0.491,207760,0.391,0.953,3.27E-06,4,0.0944,-8.551,1,15,0.042,117.688,0.66,1961
3HI4xMWOvxnN3s3e5l17Ig,Ala Khadha Khal,['Nazem al-Ghazali'],0.306,81533,0.699,0.994,0.577,2,0.345,-7.594,1,0,0.0505,123.974,0.286,1936
56n7xjncKs9RInEHAmjtco,I Don't Want You on My Mind,['Bill Withers'],0.535,277221,0.38,0.497,0.257,11,0.072,-13.79,0,36,0.0497,243.507,0.828,1972
560vR1J2rlEZ5yPpafwN6m,Bluebird,['James Gang'],0.304,362627,0.517,0.0898,0.482,7,0.339,-10.031,1,22,0.0286,92.048,0.174,1969
5opXmZP57DXdNdte3sIRKp,Pan,"['Stan Getz', 'Eddie Sauter']",0.374,235293,0.366,0.911,0.889,0,0.137,-11.597,1,13,0.032,108.45,0.427,1962
3sSn1a3prFv9lIT4XGKhzx,Adua,['Crivel E Coro'],0.636,157200,0.373,0.994,0,5,0.125,-10.286,1,2,0.212,130.614,0.631,1933
